NO,Nilai,Kurs Jual,Kurs Beli,Tanggal
457,1,14087.09,13946.92,2/3/2021
458,1,14114.22,13973.78,2/2/2021
459,1,14112.21,13971.79,2/1/2021
460,1,14154.42,14013.58,1/29/2021
461,1,14189.6,14048.41,1/28/2021
462,1,14161.46,14020.55,1/27/2021
463,1,14156.43,14015.57,1/26/2021
464,1,14152.41,14011.59,1/25/2021
465,1,14124.27,13983.73,1/22/2021
466,1,14109.2,13968.81,1/21/2021
467,1,14135.33,13994.68,1/20/2021
468,1,14156.43,14015.57,1/19/2021
469,1,14150.4,14009.6,1/18/2021
470,1,14138.34,13997.66,1/15/2021
471,1,14189.6,14048.41,1/14/2021
472,1,14179.55,14038.46,1/13/2021
473,1,14302.16,14159.85,1/12/2021
474,1,14225.78,14084.23,1/11/2021
475,1,14128.29,13987.71,1/8/2021
476,1,14007.69,13868.31,1/7/2021
477,1,13995.63,13856.37,1/6/2021
478,1,14014.73,13875.28,1/5/2021
479,1,13972.52,13833.49,1/4/2021
480,1,14175.53,14034.48,12/31/2020
481,1,14175.53,14034.48,12/30/2020
482,1,14239.85,14098.16,12/29/2020
483,1,14254.92,14113.08,12/28/2020
484,1,14353.41,14210.59,12/25/2020
485,1,14353.41,14210.59,12/24/2020
486,1,14353.41,14210.59,12/23/2020
487,1,14289.09,14146.91,12/22/2020
488,1,14250.9,14109.1,12/21/2020
489,1,14216.73,14075.27,12/18/2020
490,1,14222.76,14081.24,12/17/2020
491,1,14221.76,14080.25,12/16/2020
492,1,14241.86,14100.15,12/15/2020
493,1,14228.79,14087.21,12/14/2020
494,1,14172.51,14031.49,12/11/2020
495,1,14200.65,14059.35,12/10/2020
496,1,14234.82,14093.18,12/9/2020
497,1,14234.82,14093.18,12/8/2020
498,1,14205.68,14064.33,12/7/2020
499,1,14252.91,14111.09,12/4/2020
500,1,14247.89,14106.12,12/3/2020
501,1,14234.82,14093.18,12/2/2020
502,1,14248.89,14107.11,12/1/2020
503,1,14198.64,14057.36,11/30/2020
504,1,14215.73,14074.28,11/27/2020
505,1,14200.65,14059.35,11/26/2020
506,1,14239.85,14098.16,11/25/2020
507,1,14266.98,14125.02,11/24/2020
508,1,14234.82,14093.18,11/23/2020
509,1,14299.14,14156.86,11/20/2020
510,1,14237.84,14096.17,11/19/2020
511,1,14188.59,14047.41,11/18/2020
512,1,14143.37,14002.64,11/17/2020
513,1,14209.7,14068.31,11/16/2020
514,1,14293.11,14150.89,11/13/2020
515,1,14257.94,14116.07,11/12/2020
516,1,14146.38,14005.62,11/11/2020
517,1,14085.08,13944.93,11/10/2020
518,1,14242.86,14101.14,11/9/2020
519,1,14392.61,14249.4,11/6/2020
520,1,14511.2,14366.81,11/5/2020
521,1,14629.79,14484.22,11/4/2020
522,1,14682.05,14535.96,11/3/2020
523,1,14791.59,14644.41,11/2/2020
524,1,14763.45,14616.55,10/30/2020
525,1,14763.45,14616.55,10/29/2020
526,1,14763.45,14616.55,10/28/2020
527,1,14763.45,14616.55,10/27/2020
528,1,14770.49,14623.52,10/26/2020
529,1,14811.69,14664.31,10/23/2020
530,1,14770.49,14623.52,10/22/2020
531,1,14731.29,14584.71,10/21/2020
532,1,14802.65,14655.36,10/20/2020
533,1,14814.71,14667.3,10/19/2020
534,1,14839.83,14692.17,10/16/2020
535,1,14833.8,14686.2,10/15/2020
536,1,14853.9,14706.1,10/14/2020
537,1,14866.97,14719.04,10/13/2020
538,1,14819.73,14672.27,10/12/2020
539,1,14810.69,14663.32,10/9/2020
540,1,14823.75,14676.25,10/8/2020
541,1,14857.92,14710.08,10/7/2020
542,1,14785.56,14638.44,10/6/2020
543,1,14941.34,14792.67,10/5/2020
544,1,14964.45,14815.55,10/2/2020
545,1,14950.38,14801.62,10/1/2020
546,1,14992.59,14843.41,9/30/2020
547,1,14994.6,14845.4,9/29/2020
548,1,15033.8,14884.21,9/28/2020
549,1,15025.76,14876.25,9/25/2020
550,1,15023.75,14874.26,9/24/2020
551,1,14909.18,14760.83,9/23/2020
552,1,14855.91,14708.09,9/22/2020
553,1,14796.62,14649.39,9/21/2020
554,1,14841.84,14694.16,9/18/2020
555,1,14952.39,14803.61,9/17/2020
556,1,14918.22,14769.78,9/16/2020
557,1,14944.35,14795.65,9/15/2020
558,1,15048.87,14899.13,9/14/2020
559,1,15053.9,14904.11,9/11/2020
560,1,14945.36,14796.65,9/10/2020
561,1,14927.27,14778.74,9/9/2020
562,1,14871.99,14724.01,9/8/2020
563,1,14827.77,14680.23,9/7/2020
564,1,14865.96,14718.04,9/4/2020
565,1,14892.09,14743.91,9/3/2020
566,1,14878.02,14729.98,9/2/2020
567,1,14688.08,14541.93,9/1/2020
568,1,14626.77,14481.23,8/31/2020
569,1,14775.51,14628.49,8/28/2020
570,1,14787.57,14640.43,8/27/2020
571,1,14709.18,14562.82,8/26/2020
572,1,14705.16,14558.84,8/25/2020
573,1,14867.97,14720.03,8/24/2020
574,1,14859.93,14712.07,8/19/2020
575,1,14981.54,14832.47,8/18/2020
576,1,14991.59,14842.42,8/14/2020
577,1,14951.39,14802.62,8/13/2020
578,1,14850.89,14703.12,8/12/2020
579,1,14801.64,14654.36,8/11/2020
580,1,14823.75,14676.25,8/10/2020
581,1,14720.24,14573.77,8/7/2020
582,1,14659.94,14514.07,8/6/2020
583,1,14696.12,14549.89,8/5/2020
584,1,14770.49,14623.52,8/4/2020
585,1,14786.57,14639.44,8/3/2020
586,1,14726.27,14579.74,7/30/2020
587,1,14642.85,14497.15,7/29/2020
588,1,14615.72,14470.29,7/28/2020
589,1,14678.03,14531.98,7/27/2020
590,1,14687.07,14540.93,7/24/2020
591,1,14742.35,14595.66,7/23/2020
592,1,14728.28,14581.73,7/22/2020
593,1,14887.07,14738.94,7/21/2020
594,1,14906.16,14757.84,7/20/2020
595,1,14853.9,14706.1,7/17/2020
596,1,14705.16,14558.84,7/16/2020
597,1,14689.08,14542.92,7/15/2020
598,1,14584.56,14439.44,7/14/2020
599,1,14558.43,14413.57,7/13/2020
600,1,14573.51,14428.5,7/10/2020
601,1,14518.23,14373.77,7/9/2020
602,1,14532.3,14387.7,7/8/2020
603,1,14528.28,14383.72,7/7/2020
604,1,14619.74,14474.27,7/6/2020
605,1,14638.83,14493.17,7/3/2020
606,1,14588.58,14443.42,7/2/2020
607,1,14412.71,14269.3,7/1/2020
608,1,14373.51,14230.49,6/30/2020
609,1,14440.85,14297.16,6/29/2020
610,1,14310.2,14167.81,6/26/2020
611,1,14302.16,14159.85,6/25/2020
612,1,14230.8,14089.2,6/24/2020
613,1,14336.33,14193.68,6/23/2020
614,1,14280.05,14137.96,6/22/2020
615,1,14313.21,14170.79,6/19/2020
616,1,14256.93,14115.07,6/18/2020
617,1,14305.17,14162.83,6/17/2020
618,1,14225.78,14084.23,6/16/2020
619,1,14299.14,14156.86,6/15/2020
620,1,14328.29,14185.72,6/12/2020
621,1,14084.07,13943.93,6/11/2020
622,1,14153.42,14012.59,6/10/2020
623,1,14042.87,13903.14,6/9/2020
624,1,14025.78,13886.22,6/8/2020
625,1,14170.5,14029.5,6/5/2020
626,1,14235.83,14094.18,6/4/2020
627,1,14316.23,14173.78,6/3/2020
628,1,14574.51,14429.49,6/2/2020
629,1,14806.67,14659.34,5/29/2020
630,1,14842.85,14695.16,5/28/2020
631,1,14834.81,14687.2,5/27/2020
632,1,14847.87,14700.13,5/26/2020
633,1,14858.93,14711.08,5/20/2020
634,1,14897.12,14748.89,5/19/2020
635,1,14959.43,14810.58,5/18/2020
636,1,14983.55,14834.46,5/15/2020
637,1,15020.73,14871.27,5/14/2020
638,1,14961.44,14812.57,5/13/2020
639,1,15052.89,14903.11,5/12/2020
640,1,15010.68,14861.32,5/11/2020
641,1,15084.05,14933.96,5/8/2020
642,1,15202.64,15051.37,5/6/2020
643,1,15179.52,15028.48,5/5/2020
644,1,15148.37,14997.64,5/4/2020
645,1,15232.79,15081.22,4/30/2020
646,1,15492.08,15337.93,4/29/2020
647,1,15565.44,15410.56,4/28/2020
648,1,15668.96,15513.05,4/27/2020
649,1,15630.77,15475.24,4/24/2020
650,1,15708.15,15551.85,4/23/2020
651,1,15644.84,15489.17,4/22/2020
652,1,15721.22,15564.79,4/21/2020
653,1,15620.72,15465.29,4/20/2020
654,1,15580.52,15425.49,4/17/2020
655,1,15865.94,15708.07,4/16/2020
656,1,15785.54,15628.47,4/15/2020
